iter	Passed	Remaining
403	11490	12997
404	11515	12965
405	11531	12922
406	11546	12880
407	11586	12864
408	11601	12821
409	11619	12780
410	11633	12737
411	11649	12695
412	11663	12651
413	11678	12609
414	11692	12565
415	11710	12526
416	11724	12483
417	11747	12449
418	11773	12419
419	11789	12379
420	11807	12340
421	11820	12296
422	11831	12250
423	11855	12218
424	11880	12187
425	11922	12174
426	11978	12174
427	11994	12134
428	12008	12092
429	12025	12053
430	12045	12017
431	12063	11979
432	12073	11934
433	12093	11898
434	12108	11857
435	12120	11814
436	12134	11773
437	12149	11733
438	12161	11690
439	12175	11649
440	12195	11614
441	12212	11576
442	12232	11542
443	12243	11498
444	12264	11465
445	12286	11432
446	12303	11394
447	12316	11353
448	12327	11311
449	12346	11276
450	12359	11235
451	12381	11203
452	12400	11168
453	12416	11130
454	12447	11106
455	12484	11088
456	12500	11050
457	12511	11009
458	12523	10967
459	12537	10929
460	12561	10899
461	12572	10858
462	12593	10825
463	12603	10783
464	12636	10761
465	12651	10724
466	12669	10688
467	12682	10650
468	12703	10618
469	12725	10586
470	12734	10544
471	12750	10508
472	12761	10468
473	12783	10437
474	12808	10408
475	12819	10368
476	12833	10331
477	12846	10293
478	12865	10260
479	12876	10220
480	12892	10185
481	12930	10167
482	12944	10130
483	12962	10097
484	12977	10061
485	12988	10021
486	12998	9982
487	13014	9947
488	13032	9914
489	13057	9886
490	13088	9863
491	13106	9829
492	13117	9791
493	13131	9755
494	13143	9718
495	13176	9696
496	13191	9661
497	13204	9625
498	13227	9595
499	13245	9563
500	13283	9545
501	13300	9511
502	13310	9473
503	13333	9444
504	13364	9421
505	13380	9387
506	13413	9365
507	13427	9330
508	13446	9299
509	13474	9273
510	13510	9253
511	13549	9236
512	13568	9204
513	13588	9173
514	13614	9146
515	13651	9127
516	13685	9106
517	13715	9081
518	13734	9050
519	13769	9029
520	13828	9024
521	13847	8992
522	13926	9000
523	13999	9003
524	14050	8992
525	14064	8957
526	14096	8934
527	14124	8907
528	14141	8875
529	14161	8844
530	14185	8815
531	14208	8786
532	14234	8759
533	14260	8732
534	14274	8697
535	14285	8661
536	14322	8641
537	14362	8622
538	14392	8598
539	14410	8566
540	14463	8555
541	14510	8540
542	14530	8509
543	14554	8481
544	14570	8448
545	14587	8415
546	14599	8380
547	14623	8352
548	14672	8338
549	14685	8304
550	14706	8273
551	14746	8254
552	14760	8221
553	14792	8197
554	14843	8183
555	14884	8165
556	14909	8137
557	14965	8126
558	15028	8119
559	15047	8087
560	15091	8070
561	15109	8038
562	15126	8006
563	15151	7978
564	15165	7945
565	15198	7921
566	15233	7898
567	15268	7876
568	15296	7849
569	15323	7822
570	15364	7803
571	15400	7780
572	15443	7762
573	15473	7736
574	15488	7703
575	15538	7688
576	15569	7663
577	15599	7637
578	15628	7611
579	15654	7584
580	15681	7557
581	15699	7526
582	15726	7499
583	15799	7493
584	15831	7469
585	15849	7438
586	15874	7409
587	15915	7389
588	15936	7359
589	15975	7337
590	16010	7314
591	16045	7290
592	16068	7261
593	16088	7231
594	16118	7205
595	16164	7187
596	16190	7159
597	16206	7127
598	16224	7096
599	16255	7071
600	16282	7043
601	16321	7021
602	16358	6999
603	16401	6978
604	16437	6955
605	16470	6930
606	16493	6901
607	16530	6878
608	16566	6855
609	16612	6835
610	16648	6812
611	16709	6798
612	16737	6771
613	16771	6746
614	16803	6721
615	16847	6700
616	16867	6670
617	16916	6651
618	16947	6625
619	16967	6595
620	16984	6564
621	17002	6533
622	17027	6504
623	17040	6472
624	17066	6444
625	17092	6416
626	17105	6384
627	17121	6352
628	17142	6322
629	17170	6295
630	17199	6269
631	17226	6241
632	17238	6208
633	17251	6176
634	17266	6145
635	17287	6115
636	17328	6093
637	17358	6067
638	17380	6038
639	17407	6010
640	17424	5980
641	17455	5954
642	17478	5925
643	17530	5907
644	17549	5877
645	17585	5852
646	17604	5822
647	17632	5796
648	17649	5765
649	17673	5737
650	17705	5711
651	17738	5686
652	17758	5656
653	17786	5629
654	17826	5606
655	17843	5576
656	17863	5546
657	17879	5516
658	17894	5484
659	17926	5459
660	17944	5429
661	17967	5401
662	17985	5371
663	17997	5339
664	18022	5311
665	18050	5285
666	18065	5254
667	18085	5225
668	18102	5195
669	18129	5168
670	18158	5141
671	18174	5111
672	18188	5080
673	18208	5051
674	18232	5023
675	18247	4993
676	18262	4963
677	18280	4934
678	18292	4903
679	18305	4872
680	18326	4843
681	18339	4813
682	18356	4784
683	18387	4758
684	18420	4732
685	18441	4704
686	18458	4675
687	18477	4646
688	18506	4619
689	18535	4593
690	18560	4566
691	18578	4537
692	18596	4508
693	18613	4479
694	18652	4455
695	18673	4426
696	18697	4399
697	18717	4371
698	18751	4345
699	18781	4319
700	18819	4295
701	18848	4269
702	18869	4240
703	18896	4214
704	18940	4191
705	18970	4164
706	19004	4139
707	19032	4112
708	19049	4083
709	19064	4054
710	19088	4027
711	19104	3997
712	19128	3970
713	19143	3941
714	19157	3911
715	19181	3884
716	19201	3856
717	19216	3827
718	19231	3798
719	19247	3769
720	19262	3740
721	19278	3711
722	19296	3683
723	19325	3656
724	19347	3629
725	19372	3602
726	19419	3579
727	19437	3551
728	19462	3524
729	19488	3497
730	19509	3469
731	19523	3440
732	19551	3414
733	19569	3386
734	19603	3360
735	19645	3336
736	19658	3307
737	19672	3278
738	19692	3250
739	19708	3222
740	19727	3194
741	19745	3166
742	19766	3139
743	19781	3110
744	19802	3083
745	19816	3054
746	19839	3027
747	19854	2999
748	19877	2972
749	19892	2944
750	19925	2918
751	19941	2890
752	19958	2862
753	19974	2834
754	19993	2807
755	20009	2779
756	20026	2751
757	20043	2723
758	20058	2695
759	20074	2667
760	20091	2640
761	20108	2612
762	20139	2586
763	20159	2559
764	20182	2532
765	20211	2506
766	20229	2479
767	20247	2451
768	20268	2424
769	20293	2398
770	20310	2370
771	20340	2344
772	20380	2320
773	20398	2292
774	20423	2266
775	20444	2239
776	20489	2215
777	20508	2187
778	20526	2160
779	20541	2133
780	20553	2105
781	20566	2077
782	20593	2051
783	20617	2024
784	20637	1998
785	20654	1970
786	20669	1943
787	20710	1918
788	20731	1891
789	20762	1865
790	20777	1838
791	20802	1812
792	20818	1785
793	20844	1758
794	20860	1731
795	20877	1704
796	20909	1679
797	20944	1653
798	20954	1625
799	20969	1598
800	20987	1572
801	21002	1545
802	21016	1518
803	21033	1491
804	21048	1464
805	21063	1437
806	21079	1410
807	21096	1383
808	21130	1358
809	21145	1331
810	21161	1304
811	21178	1278
812	21205	1251
813	21226	1225
814	21254	1199
815	21271	1173
816	21293	1146
817	21311	1120
818	21328	1093
819	21349	1067
820	21370	1041
821	21391	1014
822	21415	988
823	21433	962
824	21447	935
825	21470	909
826	21491	883
827	21510	857
828	21525	830
829	21553	805
830	21567	778
831	21601	752
832	21613	726
833	21626	700
834	21637	673
835	21670	648
836	21690	621
837	21715	596
838	21730	569
839	21761	544
840	21777	517
841	21789	491
842	21804	465
843	21823	439
844	21835	413
845	21863	387
846	21889	361
847	21907	335
848	21917	309
849	21935	283
850	21955	257
851	21985	232
852	22003	206
853	22027	180
854	22046	154
855	22062	128
856	22077	103
857	22099	77
858	22125	51
859	22153	25
860	22167	0
