iter	RMSE
0	0.3156528957
1	0.306753693
2	0.298634007
3	0.2916168624
4	0.2838965468
5	0.2767867043
6	0.2706873847
7	0.2649324155
8	0.2589879876
9	0.2533535179
10	0.2475667607
11	0.2427063737
12	0.237934067
13	0.2331301773
14	0.2286508019
15	0.2246952709
16	0.2206561519
17	0.2179030472
18	0.2146280882
19	0.2119660741
20	0.2096971151
21	0.2071278266
22	0.2049317794
23	0.2028590594
24	0.2001604001
25	0.1973966843
26	0.1952233218
27	0.1935096111
28	0.1918425446
29	0.1896127935
30	0.1881396408
31	0.1861394059
32	0.1842877636
33	0.1824484832
34	0.1811551208
35	0.1795214501
36	0.1779470473
37	0.1762065915
38	0.1747527491
39	0.1727969608
40	0.1717094993
41	0.1709750375
42	0.1696185118
43	0.167901838
44	0.167119178
45	0.1662910034
46	0.1654676441
47	0.164131285
48	0.1626689109
49	0.1616427374
50	0.1605143696
51	0.1588831204
52	0.1578972545
53	0.1570563641
54	0.1555456321
55	0.1543104926
56	0.1537678062
57	0.1529929081
58	0.1514556118
59	0.1501682292
60	0.1492183805
61	0.1488890281
62	0.1481813378
63	0.1471910255
64	0.1465121337
65	0.1456817775
66	0.1448171991
67	0.1439318164
68	0.1428008489
69	0.142189415
70	0.1416198491
71	0.1409428091
72	0.1403179959
73	0.1391742506
74	0.1390266577
75	0.138528293
76	0.1380031244
77	0.137410084
78	0.1365864119
79	0.1361590258
80	0.1355731486
81	0.1352389509
82	0.134733612
83	0.13398957
84	0.1332456737
85	0.1324166765
86	0.1318769041
87	0.1317015891
88	0.1313968182
89	0.130596133
90	0.1294890726
91	0.1290758436
92	0.1284598803
93	0.1279545147
94	0.127636181
95	0.1272803779
96	0.1266894189
97	0.1262992128
98	0.1257950388
99	0.124852985
100	0.124653733
101	0.1241734866
102	0.1236690562
103	0.1231123955
104	0.1228074594
105	0.1226361638
106	0.1219396817
107	0.1213331896
108	0.1208415921
109	0.1202344147
110	0.1198742715
111	0.1195694995
112	0.1188922011
113	0.1184976855
114	0.1176533252
115	0.1172719642
116	0.1166092676
117	0.1162482345
118	0.116081808
119	0.1156019522
120	0.115017612
121	0.114523011
122	0.1141731983
123	0.1135923902
124	0.1127847331
125	0.1115216171
126	0.1112003853
127	0.1107253169
128	0.1100714887
129	0.1099493112
130	0.1098627462
131	0.1091984409
132	0.1086072121
133	0.1081195716
134	0.1079151545
135	0.1077986571
136	0.1072853293
137	0.1067490281
138	0.1064231577
139	0.1062354004
140	0.10548061
141	0.1053475415
142	0.1045480881
143	0.1040664135
144	0.1037589746
145	0.1029480415
146	0.1023697677
147	0.10194198
148	0.1014444655
149	0.1010532497
150	0.1005283806
151	0.1000924848
152	0.09951817856
153	0.09926818305
154	0.09881087588
155	0.09839462446
156	0.09812036233
157	0.09787427446
158	0.09761881896
159	0.0970912503
160	0.09652172421
161	0.09603580267
162	0.09546133267
163	0.09508259582
164	0.09461387797
165	0.09392769972
166	0.09354295634
167	0.09293724464
168	0.09271464131
169	0.09254428813
170	0.09190684013
171	0.09164741662
172	0.09147041598
173	0.09082541793
174	0.09045191151
175	0.09012535516
176	0.08946305611
177	0.08919033539
178	0.08875073679
179	0.08837379145
180	0.08820362967
181	0.0878663926
182	0.08770939358
183	0.08752563273
184	0.08713980006
185	0.08680308105
186	0.08610424094
187	0.08591146445
188	0.08545155811
189	0.08525603576
190	0.08476059215
191	0.08459040764
192	0.08438441925
193	0.08418560686
194	0.08400947264
195	0.08379209451
196	0.08331988622
197	0.08307795341
198	0.0825163347
199	0.0821396876
200	0.08203998872
201	0.08179038429
202	0.08161935308
203	0.08075389292
204	0.08036665866
205	0.07998813565
206	0.07988646224
207	0.07970934525
208	0.07892847265
209	0.07875193481
210	0.07860284546
211	0.07851767646
212	0.07797781254
213	0.07781251385
214	0.07763431314
215	0.07716142769
216	0.0769503206
217	0.07654404931
218	0.07631844825
219	0.07599607277
220	0.07577897843
221	0.07562217351
222	0.07519047832
223	0.07502385084
224	0.07455820551
225	0.07437283797
226	0.07421213669
227	0.07404847443
228	0.07397804723
229	0.07358020092
230	0.07341113596
231	0.07311201176
232	0.0729625358
233	0.07269594372
234	0.0724814257
235	0.07217788484
236	0.07205565192
237	0.0718851553
238	0.07166756245
239	0.07124190905
240	0.07115514702
241	0.07086590402
242	0.07057338004
243	0.07035109306
244	0.07005804699
245	0.06997688065
246	0.0697508985
247	0.06953348788
248	0.06925406626
249	0.06880555148
250	0.06863482251
251	0.0685206998
252	0.06850441079
253	0.06832670153
254	0.06820015315
255	0.06799254445
256	0.06783758365
257	0.06751389991
258	0.06739033043
259	0.06731805071
260	0.06712444254
261	0.06701219385
262	0.06685984094
263	0.06675670074
264	0.06662793418
265	0.06655212968
266	0.06641652861
267	0.0660038589
268	0.06591493864
269	0.06528252128
270	0.06516522867
271	0.06505618187
272	0.064714452
273	0.06453132725
274	0.0641457179
275	0.06399329746
276	0.06380403979
277	0.0635059962
278	0.06329754567
279	0.0627011304
280	0.06250517012
281	0.06238868008
282	0.062301798
283	0.06214879899
284	0.06201498538
285	0.06181945352
286	0.06171342443
287	0.06139415409
288	0.06119958508
289	0.06094304956
290	0.06073336718
291	0.06061087074
292	0.06039427741
293	0.06034571112
294	0.06027685712
295	0.05997584287
296	0.05991411213
297	0.05986981249
298	0.05964161218
299	0.05926084506
300	0.05916200623
301	0.05910130525
302	0.05883032276
303	0.05872963787
304	0.05858351601
305	0.05846145533
306	0.05826210394
307	0.05794709608
308	0.05791680788
309	0.05778291994
310	0.0575557565
311	0.05729229619
312	0.05726669621
313	0.05723199354
314	0.05715631265
315	0.05707059615
316	0.05699633778
317	0.05692918612
318	0.05678951612
319	0.05671615862
320	0.05660320407
321	0.05641156535
322	0.05627221438
323	0.05620631206
324	0.05616610544
325	0.05603671814
326	0.0559633337
327	0.05586871043
328	0.05564912738
329	0.05551737877
330	0.05538321361
331	0.05531396258
332	0.05524843965
333	0.05518606937
334	0.05514290562
335	0.05504289598
336	0.05478433617
337	0.05473366515
338	0.05465908353
339	0.05457692837
340	0.05450785054
341	0.05441442581
342	0.05424940681
343	0.05417445354
344	0.05408330733
345	0.053999755
346	0.05391220652
347	0.05382789693
348	0.05375251265
349	0.05358693888
350	0.05338877889
351	0.05326822719
352	0.05305288906
353	0.0529625031
354	0.05291711027
355	0.05282209703
356	0.05276528419
357	0.05270104778
358	0.0524713928
359	0.0523790133
360	0.05224068571
361	0.05215447501
362	0.05206683744
363	0.05200441567
364	0.05189538782
365	0.0518182117
366	0.05169991987
367	0.05165394036
368	0.05146837894
369	0.05137776662
370	0.05133175185
371	0.05117571762
372	0.05109603232
373	0.05095605679
374	0.05092385605
375	0.05081167271
376	0.05067369048
377	0.05058327888
378	0.05040321587
379	0.05029586001
380	0.05025006355
381	0.05017371946
382	0.05010392007
383	0.05002802977
384	0.04992792966
385	0.04963379852
386	0.04955395631
387	0.04952966193
388	0.04946347441
389	0.04938968677
390	0.04936127574
391	0.04930876894
392	0.04888800833
393	0.04880688828
394	0.04877565926
395	0.04864406073
396	0.04860413491
397	0.04838080006
398	0.04834181628
399	0.04813521159
400	0.04802947031
401	0.04789880205
402	0.04769111524
403	0.04759003989
404	0.04756054994
405	0.04750534286
406	0.04744319504
407	0.04740977124
408	0.04732243384
409	0.0472175026
410	0.04712792983
411	0.04709192375
412	0.0470407083
413	0.04697901759
414	0.0469144732
415	0.04686447588
416	0.04678896151
417	0.04670091252
418	0.04663144035
419	0.04656449022
420	0.04651633756
421	0.04620827518
422	0.04610874452
423	0.04604662069
424	0.04585581422
425	0.0458028154
426	0.04576986617
427	0.04565108578
428	0.04560324731
429	0.04539154426
430	0.04535733296
431	0.04528667491
432	0.04516929331
433	0.04509797837
434	0.04504742567
435	0.04498425409
436	0.04493026097
437	0.0447674594
438	0.04467828887
439	0.04457504619
440	0.04449663784
441	0.04443129751
442	0.0442353419
443	0.04418836098
444	0.04416709189
445	0.04414039803
446	0.04410125469
447	0.04404355013
448	0.04395735651
449	0.04391186998
450	0.04385877165
451	0.04358230235
452	0.04349094701
453	0.04344452231
454	0.04335423875
455	0.04324354117
456	0.04319211008
457	0.04310412549
458	0.04308234892
459	0.04302926676
460	0.04300983662
461	0.04295438997
462	0.04288576293
463	0.04280436549
464	0.04274347963
465	0.04272059042
466	0.04265129375
467	0.04253033772
468	0.04250628907
469	0.04244621371
470	0.04240640358
471	0.04235218408
472	0.04229881049
473	0.04226875937
474	0.04223866534
475	0.0422043235
476	0.04214504523
477	0.04209833421
478	0.04203659022
479	0.04196352556
480	0.04186162001
481	0.04182808248
482	0.04177686477
483	0.04174520248
484	0.04168366306
485	0.04164309981
486	0.04162478276
487	0.04156182771
488	0.04154355236
489	0.04145937287
490	0.04141696412
491	0.04139559732
492	0.04125323808
493	0.04108694551
494	0.04100373605
495	0.04092977966
496	0.04085774696
497	0.04083679557
498	0.04079004338
499	0.04077220192
500	0.0407302323
501	0.04065000075
502	0.0403413707
503	0.04025918954
504	0.04018499839
505	0.04013676332
506	0.04010912639
507	0.04007756489
508	0.04001703374
509	0.03995409764
510	0.03988286212
511	0.03982119029
512	0.03974106621
513	0.0396979631
514	0.03951815192
515	0.03943951831
516	0.03938588948
517	0.03934837518
518	0.03929616851
519	0.03921740781
520	0.039161123
521	0.03914282046
522	0.03908263623
523	0.03904443323
524	0.03898866927
525	0.03894611714
526	0.0389003725
527	0.03888524249
528	0.03883902543
529	0.03871820554
530	0.03863837178
531	0.03849763481
532	0.03844420743
533	0.03842807646
534	0.03838532882
535	0.03830797312
536	0.038285606
537	0.0382201959
538	0.03820672071
539	0.03817150319
540	0.03814165152
541	0.03811303527
542	0.03802903517
543	0.03800857631
544	0.03795391921
545	0.03793419937
546	0.03791828318
547	0.03787142405
548	0.0378035598
549	0.03779017634
550	0.03773501824
551	0.03770659497
552	0.03768022981
553	0.03765175126
554	0.0376189158
555	0.03756676335
556	0.03753106554
557	0.03750801007
558	0.03747440094
559	0.03743326795
560	0.03740947113
561	0.03734543724
562	0.03727076626
563	0.03726033866
564	0.03723290462
565	0.03711435663
566	0.03709077447
567	0.03703464522
568	0.03700659835
569	0.03694495688
570	0.03691585868
571	0.03685571092
572	0.03681753574
573	0.03680225064
574	0.03677721866
575	0.03675509238
576	0.03672945335
577	0.03671904112
578	0.03660674663
579	0.03659295409
580	0.03651075122
581	0.03648661298
582	0.03645221828
583	0.03640662751
584	0.03638612875
585	0.03634196629
586	0.03630365114
587	0.03623369388
588	0.03619408537
589	0.03615921918
590	0.03614277654
591	0.03611898545
592	0.03608387396
593	0.0360608817
594	0.03604936888
